| اسم_الجدول                      | اسم_العمود                    | ترتيب_العمود | نوع_البيانات                | الحد_الأقصى_للطول | دقة_الرقم | عدد_الخانات_العشرية | يقبل_القيم_الفارغة | القيمة_الافتراضية                                     |
| ------------------------------- | ----------------------------- | ------------ | --------------------------- | ----------------- | --------- | ------------------- | ------------------ | ----------------------------------------------------- |
| ai_system_decisions             | id                            | 1            | character varying           | null              | null      | null                | NO                 | gen_random_uuid()                                     |
| ai_system_decisions             | decision_type                 | 2            | text                        | null              | null      | null                | NO                 | null                                                  |
| ai_system_decisions             | decision_title                | 3            | text                        | null              | null      | null                | NO                 | null                                                  |
| ai_system_decisions             | decision_description          | 4            | text                        | null              | null      | null                | NO                 | null                                                  |
| ai_system_decisions             | input_data                    | 5            | jsonb                       | null              | null      | null                | YES                | null                                                  |
| ai_system_decisions             | output_data                   | 6            | jsonb                       | null              | null      | null                | YES                | null                                                  |
| ai_system_decisions             | confidence                    | 7            | numeric                     | null              | 5         | 2                   | YES                | null                                                  |
| ai_system_decisions             | priority                      | 8            | integer                     | null              | 32        | 0                   | NO                 | 3                                                     |
| ai_system_decisions             | status                        | 9            | text                        | null              | null      | null                | NO                 | 'pending'::text                                       |
| ai_system_decisions             | executed_at                   | 10           | timestamp without time zone | null              | null      | null                | YES                | null                                                  |
| ai_system_decisions             | executed_by                   | 11           | character varying           | null              | null      | null                | YES                | null                                                  |
| ai_system_decisions             | impact_assessment             | 12           | text                        | null              | null      | null                | YES                | null                                                  |
| ai_system_decisions             | project_id                    | 13           | character varying           | null              | null      | null                | YES                | null                                                  |
| ai_system_decisions             | auto_executable               | 14           | boolean                     | null              | null      | null                | NO                 | false                                                 |
| ai_system_decisions             | created_at                    | 15           | timestamp without time zone | null              | null      | null                | NO                 | now()                                                 |
| ai_system_decisions             | updated_at                    | 16           | timestamp without time zone | null              | null      | null                | NO                 | now()                                                 |
| ai_system_logs                  | id                            | 1            | character varying           | null              | null      | null                | NO                 | gen_random_uuid()                                     |
| ai_system_logs                  | log_type                      | 2            | text                        | null              | null      | null                | NO                 | null                                                  |
| ai_system_logs                  | log_level                     | 3            | integer                     | null              | 32        | 0                   | NO                 | 1                                                     |
