| table_name                  | schema_name |
| --------------------------- | ----------- |
| actions                     | public      |
| approvals                   | public      |
| auth_audit_log              | public      |
| auth_permissions            | public      |
| auth_role_permissions       | public      |
| auth_roles                  | public      |
| auth_user_permissions       | public      |
| auth_user_roles             | public      |
| auth_user_security_settings | public      |
| auth_user_sessions          | public      |
| auth_verification_codes     | public      |
| autocomplete_data           | public      |
| channels                    | public      |
| daily_expense_summaries     | public      |
| equipment                   | public      |
| equipment_movements         | public      |
| fund_transfers              | public      |
| maintenance_schedules       | public      |
| maintenance_tasks           | public      |
| material_purchases          | public      |
| materials                   | public      |
| messages                    | public      |
| notification_queue          | public      |
| notification_read_states    | public      |
| notification_settings       | public      |
| notification_templates      | public      |
| notifications               | public      |
| print_settings              | public      |
| project_fund_transfers      | public      |
| projects                    | public      |
| report_jobs                 | public      |
| report_runs                 | public      |
| report_templates            | public      |
| supplier_payments           | public      |
| suppliers                   | public      |
| system_events               | public      |
| tool_categories             | public      |
| tool_cost_tracking          | public      |
| tool_maintenance_logs       | public      |
| tool_movements              | public      |
| tool_purchase_items         | public      |
| tool_reservations           | public      |
| tool_stock                  | public      |
| tool_usage_analytics        | public      |
| tools                       | public      |
| transportation_expenses     | public      |
| users                       | public      |
| worker_attendance           | public      |
| worker_balances             | public      |
| worker_misc_expenses        | public      |
| worker_transfers            | public      |
| worker_types                | public      |
| workers                     | public      |
